Outlook,Temperature,Humidity,Wind,Play
1,68.0,72,0,1
2,85.0,98,1,1
1,61.0,44,1,0
1,79.0,81,1,0
2,87.0,78,0,1
2,78.65306122448979,97,0,1
1,67.0,80,0,0
0,94.0,67,0,1
1,73.0,46,0,1
1,76.0,48,0,1
1,130.0,47,0,0
1,99.0,51,1,0
2,63.0,73,0,0
1,61.0,72,1,1
0,65.0,87,0,1
2,63.0,94,0,0
0,88.0,62,0,0
0,77.0,63,1,0
0,85.0,76,1,0
0,93.0,74,1,1
2,69.0,83,1,0
2,95.0,79,0,1
0,73.0,61,1,0
0,90.0,66,0,1
2,74.0,74,0,0
2,67.0,40,1,0
2,73.0,74,1,0
1,82.0,76,1,0
1,99.0,86,1,1
1,80.0,53,1,0
0,75.0,42,1,1
1,77.0,40,1,1
0,83.0,44,1,1
0,85.0,65,0,1
1,84.0,94,1,0
0,88.0,53,1,1
1,74.0,78,0,1
1,60.0,66,1,1
2,84.0,48,0,0
1,66.0,54,0,0
2,68.0,54,1,0
1,83.0,65,0,0
1,60.0,81,0,1
2,67.0,99,0,1
2,83.0,52,0,0
1,70.0,90,1,1
0,76.0,71,0,1
2,67.0,78,1,1
0,94.0,88,0,0
0,94.0,91,0,0
